bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),sysctls.yml,10,200,4612,14,0.087835,0.00159,0.185205,0.27463
Small (<100 lines),sysctls.yml,10,200,4612,15,0.073653,0.001924,0.09939,0.174967
Small (<100 lines),sysctls.yml,10,200,4612,16,0.054935,0.000844,0.08952,0.145299
Small (<100 lines),sysctls.yml,10,200,4612,17,0.053709,0.00067,0.0857,0.140079
Small (<100 lines),sysctls.yml,10,200,4612,18,0.052068,0.000692,0.083536,0.136296
Small (<100 lines),sysctls.yml,10,200,4612,19,0.051457,0.000622,0.084181,0.13626
Small (<100 lines),sysctls.yml,10,200,4612,20,0.051773,0.00064,0.081189,0.133602
Small (<100 lines),sysctls.yml,10,200,4612,21,0.052322,0.000624,0.090675,0.143621
Small (<100 lines),sysctls.yml,10,200,4612,22,0.054181,0.000617,0.087431,0.142229
Small (<100 lines),sysctls.yml,10,200,4612,23,0.053908,0.000702,0.088255,0.142865
Small (<100 lines),sysctls.yml,10,200,4612,24,0.055486,0.000672,0.090312,0.14647
Small (<100 lines),sysctls.yml,10,200,4612,25,0.054988,0.000664,0.090162,0.145814
Small (<100 lines),sysctls.yml,10,200,4612,26,0.055217,0.000655,0.08838,0.144252
Small (<100 lines),sysctls.yml,10,200,4612,27,0.055257,0.000653,0.089797,0.145707
Small (<100 lines),sysctls.yml,10,200,4612,28,0.054639,0.000683,0.095789,0.151111
Small (<100 lines),sysctls.yml,10,200,4612,29,0.059621,0.00071,0.095255,0.155586
Small (<100 lines),ulimits.yml,8,128,4600,0,0.250096,0.009956,0.299208,0.55926
Small (<100 lines),ulimits.yml,8,128,4600,1,0.091741,0.002214,0.157283,0.251238
Small (<100 lines),ulimits.yml,8,128,4600,2,0.080764,0.001819,0.144288,0.226871
Small (<100 lines),ulimits.yml,8,128,4600,3,0.078984,0.001782,0.137244,0.21801
Small (<100 lines),ulimits.yml,8,128,4600,4,0.075999,0.001705,0.135712,0.213416
Small (<100 lines),ulimits.yml,8,128,4600,5,0.07237,0.001579,0.126735,0.200684
Small (<100 lines),ulimits.yml,8,128,4600,6,0.072074,0.001574,0.126292,0.19994
Small (<100 lines),ulimits.yml,8,128,4600,7,0.075155,0.00158,0.124743,0.201478
Small (<100 lines),ulimits.yml,8,128,4600,8,0.066858,0.001422,0.116351,0.184631
Small (<100 lines),ulimits.yml,8,128,4600,9,0.066082,0.001416,0.113244,0.180742
Small (<100 lines),ulimits.yml,8,128,4600,10,0.062675,0.001323,0.105085,0.169083
Small (<100 lines),ulimits.yml,8,128,4600,11,0.060097,0.001315,0.114013,0.175425
Small (<100 lines),ulimits.yml,8,128,4600,12,0.061581,0.0013,0.105893,0.168774
Small (<100 lines),ulimits.yml,8,128,4600,13,0.060892,0.001263,0.103849,0.166004
Small (<100 lines),ulimits.yml,8,128,4600,14,0.056085,0.001204,0.09755,0.154839
