bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,17,0.13155,0.00034,0.069511,0.201401
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,18,0.131617,0.000342,0.070281,0.20224
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,19,0.130006,0.000374,0.069528,0.199908
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,20,0.131427,0.000326,0.069111,0.200864
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,21,0.13063,0.000376,0.069077,0.200083
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,22,0.129559,0.000354,0.06902,0.198933
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,23,0.131134,0.000445,0.068908,0.200487
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,24,0.130151,0.000351,0.068832,0.199334
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,25,0.130692,0.00034,0.069316,0.200348
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,26,0.131204,0.000356,0.070177,0.201737
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,27,0.129544,0.000348,0.068782,0.198674
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,28,0.129389,0.000356,0.069482,0.199227
