file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
ujjwal-dahal__agent-rag-ai-assistant__docker-compose.yml.yml,1370,0.0039,True,True,True,74,34,False,42,0.567568,42,0.567568,not requested,
ultimate-pa__hanfor__docker-compose.yml.dist.yml,481,0.0034,True,True,True,17,17,False,1,0.058824,1,0.058824,not requested,
unimauro__observatorio-defensa-interior__docker-compose.yml.yml,746,0.0036,True,True,True,29,24,False,6,0.206897,6,0.206897,not requested,
uwu-octane__antBackend__docker-compose.yml.yml,5537,0.01,True,True,True,217,179,False,50,0.230415,50,0.230415,not requested,
v1adis1av28__CloudStorage__demo_docker-compose.yml.yml,1755,0.0056,True,True,True,82,75,False,12,0.146341,12,0.146341,not requested,
vdice__porter-bundles__docker-volumes_docker-compose.yml.yml,281,0.0041,True,True,True,13,13,False,0,0.0,0,0.0,not requested,
vinsonzheng499__SP23-DAM-AR__backend_docker-compose.yml.yml,266,0.004,True,True,True,17,16,False,1,0.058824,1,0.058824,not requested,
vitconhamchoi__java-learning__tutorials_distributed-java_lesson-14-event-sourcing_docker-compose.yml.yml,227,0.0037,True,True,True,11,10,False,2,0.181818,2,0.181818,not requested,
vkmguy__futures-movement-predictor__docker-compose.yml.yml,2494,0.0055,True,True,True,93,83,False,14,0.150538,14,0.150538,not requested,
vladalexz__ETL_PROJECT__docker-compose.yml.yml,1461,0.0043,True,True,True,51,46,False,9,0.176471,9,0.176471,not requested,
vr-varad__TechTower__docker_docker-compose.yml.yml,258,0.0032,True,True,True,17,14,False,4,0.235294,4,0.235294,not requested,
vs4vijay__playground__ai-chat.docker-compose.yml.yml,2216,0.0041,True,True,True,96,50,False,53,0.552083,53,0.552083,not requested,
wallisson12__Desafio-Sindicato__Avaliacao_docker-compose.yml.yml,761,0.0034,True,True,True,39,36,False,8,0.205128,8,0.205128,not requested,
weblab-technology__graphql-example__docker-compose.yml.yml,571,0.0033,True,True,True,30,29,False,10,0.333333,10,0.333333,not requested,
weilingpan__myDjango__my_first_django_docker-compose.yml.yml,1308,0.0039,True,True,True,63,49,False,15,0.238095,15,0.238095,not requested,
wemersons1__management-products__docker-compose.yml.yml,206,0.0028,True,True,True,9,9,True,0,0.0,0,0.0,not requested,
wgd3__full-stack-todo__docker-compose.yml.yml,2349,0.0045,True,True,True,95,64,False,38,0.4,38,0.4,not requested,
whyrulike__wechat-alert__docker-compose.yml.yml,352,0.003,True,True,True,15,15,True,0,0.0,0,0.0,not requested,
wignn__graphql-3__docker-compose.yml.yml,325,0.0028,True,True,True,17,15,False,4,0.235294,4,0.235294,not requested,
wilsantosdev__pos-go-expert__otel_service_a_docker-compose.yml.yml,363,0.0031,True,True,True,19,19,False,4,0.210526,4,0.210526,not requested,
wincLei__customer-service__docker-compose.yml.yml,5078,0.0071,True,True,True,159,143,False,23,0.144654,23,0.144654,not requested,
wzean__news-ai-agent__docker-compose.yml.yml,566,0.0032,True,True,True,14,14,False,4,0.285714,4,0.285714,not requested,
xavero-evandro__unicorn-rental__docker-compose.yml.yml,351,0.0032,True,True,True,26,22,False,6,0.230769,6,0.230769,not requested,
xgodon__RIG__dockerized-apps_dokuwiki_docker-compose.yml.yml,1009,0.004,True,True,True,30,28,False,27,0.9,27,0.9,not requested,
xgro__continuous_deploy__docker-compose.yml.yml,880,0.005,True,True,True,39,33,False,7,0.179487,7,0.179487,not requested,
xiaopeng163__twittor__docker-compose.yml.dev.yml,346,0.0041,True,True,True,20,18,False,3,0.15,3,0.15,not requested,
