experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,composemorph,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.0156,213,True
modification,yamlcpp-careful,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.01,244,False
modification,yamlcpp-naive,image,CodesWhat__drydock__test_qa-compose.yml.yml,alpine-latest,OK,0.0108,250,False
modification,composemorph,image,DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,grafana,OK,0.006,14,True
modification,yamlcpp-careful,image,DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,grafana,OK,0.004,20,True
modification,yamlcpp-naive,image,DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,grafana,OK,0.0036,32,False
modification,composemorph,image,DEDSEC-0010__sentiment-serve__docker-compose.yml.yml,grafana,OK,0.0053,14,True
modification,yamlcpp-careful,image,DEDSEC-0010__sentiment-serve__docker-compose.yml.yml,grafana,OK,0.0032,17,True
modification,yamlcpp-naive,image,DEDSEC-0010__sentiment-serve__docker-compose.yml.yml,grafana,OK,0.0037,29,False
modification,composemorph,image,DamienDESSAUX-M2i__M2i_CDSD_TDTP__spark_demos_lab-etl_docker-compose.yml.yml,spark-master,OK,0.0055,12,True
modification,yamlcpp-careful,image,DamienDESSAUX-M2i__M2i_CDSD_TDTP__spark_demos_lab-etl_docker-compose.yml.yml,spark-master,OK,0.0035,16,True
modification,yamlcpp-naive,image,DamienDESSAUX-M2i__M2i_CDSD_TDTP__spark_demos_lab-etl_docker-compose.yml.yml,spark-master,OK,0.0035,29,False
modification,composemorph,image,DaniilK87__BookKeeping__docker-compose.yml.yml,myPostgres,OK,0.0041,9,True
modification,yamlcpp-careful,image,DaniilK87__BookKeeping__docker-compose.yml.yml,myPostgres,OK,0.0029,9,True
modification,yamlcpp-naive,image,DaniilK87__BookKeeping__docker-compose.yml.yml,myPostgres,OK,0.0029,17,False
modification,composemorph,image,DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,cli,OK,0.0045,6,True
modification,yamlcpp-careful,image,DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,cli,OK,0.003,10,True
modification,yamlcpp-naive,image,DaniilZebzeev__hse-ml-contrast-checker__docker-compose.yml.yml,cli,OK,0.003,19,False
modification,composemorph,image,Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,postgres,OK,0.0043,5,True
modification,yamlcpp-careful,image,Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,postgres,OK,0.0028,5,True
modification,yamlcpp-naive,image,Darkbuilder646__Task-Gestion__TaskGestion_-_Back_taskgestion_docker-compose.yml.yml,postgres,OK,0.0027,15,False
modification,composemorph,image,Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,postgres,OK,0.0045,6,True
modification,yamlcpp-careful,image,Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,postgres,OK,0.0032,6,True
modification,yamlcpp-naive,image,Darkcode-Git__CoopDigital__infra_docker-compose.yml.yml,postgres,OK,0.0029,15,False
modification,composemorph,image,DataChef07__NewsApp__docker-compose.yml.yml,mongo_db,OK,0.0046,12,True
modification,yamlcpp-careful,image,DataChef07__NewsApp__docker-compose.yml.yml,mongo_db,OK,0.0031,14,True
modification,yamlcpp-naive,image,DataChef07__NewsApp__docker-compose.yml.yml,mongo_db,OK,0.003,18,False
modification,composemorph,image,DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,db,OK,0.0049,22,True
modification,yamlcpp-careful,image,DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,db,OK,0.0034,22,True
modification,yamlcpp-naive,image,DataScientest-Studio__juin23_continu_mlops_meteo__docker-compose.yml.yml,db,OK,0.0035,34,False
modification,composemorph,image,DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,api_admin,OK,0.0049,18,True
modification,yamlcpp-careful,image,DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,api_admin,OK,0.0032,20,True
modification,yamlcpp-naive,image,DataScientest-Studio__juin23_continu_mlops_pompiers__docker-compose.yml.yml,api_admin,OK,0.0043,40,False
modification,composemorph,image,Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,alertmanager,OK,0.0054,7,True
modification,yamlcpp-careful,image,Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,alertmanager,OK,0.0039,7,True
modification,yamlcpp-naive,image,Dataman-Cloud__offline-prometheus__docker-compose.yml.tmp.yml,alertmanager,OK,0.0035,11,False
modification,composemorph,image,DavideC0__Esercizi__mongodb_docker-compose.yml.yml,mongo,OK,0.0045,21,True
modification,yamlcpp-careful,image,DavideC0__Esercizi__mongodb_docker-compose.yml.yml,mongo,OK,0.003,22,True
modification,yamlcpp-naive,image,DavideC0__Esercizi__mongodb_docker-compose.yml.yml,mongo,OK,0.0029,22,False
modification,composemorph,image,DevModeVivek__book-management-system__docker-compose.yml.yml,postgres,OK,0.0046,10,True
modification,yamlcpp-careful,image,DevModeVivek__book-management-system__docker-compose.yml.yml,postgres,OK,0.0034,15,True
modification,yamlcpp-naive,image,DevModeVivek__book-management-system__docker-compose.yml.yml,postgres,OK,0.0033,32,False
modification,composemorph,image,Diegoalt-dev__esave__docker-compose.yml.yml,mysql,OK,0.0041,4,True
modification,yamlcpp-careful,image,Diegoalt-dev__esave__docker-compose.yml.yml,mysql,OK,0.0026,5,True
modification,yamlcpp-naive,image,Diegoalt-dev__esave__docker-compose.yml.yml,mysql,OK,0.0026,10,False
modification,composemorph,image,DigneZzZ__dwg__docker-compose.yml.CLI.yml,adguardhome,OK,0.0048,10,True
modification,yamlcpp-careful,image,DigneZzZ__dwg__docker-compose.yml.CLI.yml,adguardhome,OK,0.0032,12,True
modification,yamlcpp-naive,image,DigneZzZ__dwg__docker-compose.yml.CLI.yml,adguardhome,OK,0.0034,22,False
modification,composemorph,image,DigneZzZ__dwg__docker-compose.yml.DARK.yml,adwireguard,OK,0.0064,19,True
modification,yamlcpp-careful,image,DigneZzZ__dwg__docker-compose.yml.DARK.yml,adwireguard,OK,0.0039,20,True
modification,yamlcpp-naive,image,DigneZzZ__dwg__docker-compose.yml.DARK.yml,adwireguard,OK,0.0033,40,False
modification,composemorph,image,DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,authentication-msvc,OK,0.0066,19,True
modification,yamlcpp-careful,image,DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,authentication-msvc,OK,0.0048,25,True
modification,yamlcpp-naive,image,DimasHernandez__authentication-microservice__local_environment_docker-compose.yml.yml,authentication-msvc,OK,0.0047,45,False
modification,composemorph,image,Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,llvm-buildbot-worker,OK,0.0043,5,True
modification,yamlcpp-careful,image,Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,llvm-buildbot-worker,OK,0.0028,7,True
modification,yamlcpp-naive,image,Dongdongshe__K-Scheduler__libfuzzer_integration_llvm_11.0.1_libcxx_utils_docker_debian9_buildbot_docker-compose.yml.yml,llvm-buildbot-worker,OK,0.0027,14,False
modification,composemorph,image,DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,mssql,OK,0.0049,7,True
modification,yamlcpp-careful,image,DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,mssql,OK,0.0033,13,True
modification,yamlcpp-naive,image,DouglasVolles__financial-transaction-processor__docker_docker-compose.yml.yml,mssql,OK,0.0034,19,False
modification,composemorph,image,EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,position_controller,OK,0.0057,15,True
modification,yamlcpp-careful,image,EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,position_controller,OK,0.0051,15,True
modification,yamlcpp-naive,image,EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,position_controller,OK,0.0054,29,False
modification,composemorph,image,EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,nginx,OK,0.0033,2,True
