environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
0,28,0,JeremiahM37__homelab-blueprint__docker-compose.example.yml.yml,721,,0,34,48,17495,2,networks;services,0,65,4
1,2,1,JessicaNathany__rinha-de-backend-2025__deploy_docker-compose.yml.yml,94,,0,2,4,2812,3,networks;services;x-service-templates,0,2,6
0,0,0,Jhn611__9-10F-Bdev__docker-compose.yml.yml,14,,0,2,2,777,1,services,0,0,4
0,0,0,Jianxuan-Li__dev-in-docker__python3-nginx_docker-compose.yml.yml,8,,0,0,1,146,2,services;version,0,0,4
1,0,0,Jokerkraft__Sistema-De-Inventarios__docker-compose.yml.yml,24,,0,1,1,813,2,services;volumes,0,2,5
2,0,0,JonasB11__KarteiCard__docker-compose.yml.yml,33,,0,2,2,894,2,services;volumes,0,1,5
0,0,0,Jorgeluisferreira__plataforma_ensino__docker-compose.yml.yml,37,,0,4,4,541,3,networks;services;version,0,0,4
1,1,0,JoshDunnDev__farmy-fish-fry__docker-compose.yml.yml,81,,0,2,2,2017,4,networks;services;version;volumes,0,2,5
11,0,2,JosueCoto2__AgroflexSOA__docker-compose.yml.yml,270,,0,13,13,9700,6,networks;services;version;volumes;x-db-env;x-java-service,0,2,5
2,0,0,JuniorMinkoSon__SMART-FLLET__docker-compose.yml.yml,45,,0,2,2,1117,3,networks;services;version,0,0,5
1,0,0,K-Vincetti__autoRUZ__s2_db_hw_by_presentations_influxDb_docker-compose.yml.yml,30,,0,2,2,760,1,services,0,4,4
3,0,0,KARTHIK-BATTIPROLU__Agentic-Resume-Tailor__overleaf_services_notifications_docker-compose.yml.yml,67,,0,0,3,2526,1,services,0,14,5
1,0,0,KTH__node-api__docker-compose.yml.in.yml,16,,0,1,1,349,1,services,0,0,4
1,0,0,KTH__node-web__docker-compose.yml.in.yml,42,,0,1,1,1075,1,services,0,0,4
